Year,Type,Town,Management,Services,General,Region Total,Education,Total
2016,Residential,0.33%,0.02%,0.11%,0.18%,0.31%,0.19%,0.83%
2016,Multi-Residential,0.75%,0.04%,0.26%,0.40%,0.69%,0.19%,1.63%
2016,Commercial,0.48%,0.03%,0.17%,0.26%,0.45%,0.87%,1.80%
2016,land or vacant land,0.34%,0.02%,0.12%,0.18%,0.31%,0.61%,1.26%
2017,Residential,0.32%,0.02%,0.11%,0.17%,0.30%,0.18%,0.80%
2017,Multi-Residential,0.65%,0.03%,0.22%,0.34%,0.59%,0.18%,1.42%
2017,Commercial,0.47%,0.02%,0.16%,0.25%,0.43%,0.86%,1.76%
2017,land or vacant land,0.33%,0.02%,0.11%,0.17%,0.30%,0.60%,1.23%
2018,Residential,0.31%,0.02%,0.11%,0.16%,0.28%,0.17%,0.77%
2018,Multi-Residential,0.63%,0.03%,0.21%,0.32%,0.57%,0.17%,1.36%
2018,New Multi-Residential,0.31%,0.02%,0.11%,0.16%,0.28%,0.17%,0.77%
2018,Commercial,0.46%,0.02%,0.15%,0.24%,0.41%,0.84%,1.71%
2018,land or vacant land,0.32%,0.02%,0.11%,0.17%,0.29%,0.59%,1.19%
2019,Residential,0.30%,0.01%,0.10%,0.16%,0.27%,0.16%,0.73%
2019,Multi-Residential,0.60%,0.03%,0.20%,0.31%,0.55%,0.16%,1.31%
2019,New Multi-Residential,0.30%,0.01%,0.10%,0.16%,0.27%,0.16%,0.73%
2019,Commercial,0.44%,0.02%,0.15%,0.23%,0.40%,0.80%,1.64%
2019,land or vacant land,0.31%,0.02%,0.10%,0.16%,0.28%,0.68%,1.27%
2020,Residential,0.29%,0.01%,0.10%,0.15%,0.26%,0.15%,0.71%
2020,Multi-Residential,0.59%,0.03%,0.20%,0.30%,0.53%,0.15%,1.27%
2020,New Multi-Residential,0.29%,0.01%,0.10%,0.15%,0.26%,0.15%,0.71%
2020,Commercial,0.43%,0.02%,0.14%,0.22%,0.38%,0.77%,1.58%
2020,land or vacant land,0.43%,0.02%,0.14%,0.22%,0.38%,0.77%,1.58%
2021,Residential,0.30%,0.01%,0.10%,0.15%,0.27%,0.15%,0.72%
2021,Multi-Residential,0.60%,0.03%,0.20%,0.31%,0.54%,0.15%,1.29%
2021,New Multi-Residential,0.30%,0.01%,0.10%,0.15%,0.27%,0.15%,0.72%
2021,Commercial,0.44%,0.02%,0.15%,0.22%,0.39%,0.77%,1.60%
2021,land or vacant land,0.44%,0.02%,0.15%,0.22%,0.39%,0.77%,1.60%
