Type,Data_Provider,Province_Territory,Link_to_Dataset,Dataset_Name,Link_to_Dataset_License,License_Title,Attribution_Statement_in_Language_of_Origin,License_Version,Date_Last_Updated,Date_Collected
Open Data,Province of Alberta,AB,https://open.alberta.ca/opendata/alberta-education-schools-and-authorities%23summary,Alberta Education Schools and Authorities,https://open.alberta.ca/licence,Open Government (alberta.ca),Contains information licensed under the Open Government Licence – Alberta.,Version 2.1,5/15/2015,12/31/2021
Other,Province of British Columbia,BC,http://www.bced.gov.bc.ca/apps/imcl/imclWeb/Home.do,BC K-12 School and District Contact Information,,,,,,12/31/2021
Other,Province of Manitoba,MB,https://web36.gov.mb.ca/school/school?action=program,Schools in Manitoba Search,,,,,,12/6/2021
Open data,Province of New Brunswick,NB,http://www.snb.ca/geonb1/e/DC/NBPS.asp,New Brunswick Public Schools - GeoNB,http://www.snb.ca/e/2000/data-E.html,Open Government Licence - New Brunswick (snb.ca),Contains information licensed under the Open Government Licence – New Brunswick.,Version 2,12/11/2019,12/31/2021
Other,Province of Newfoundland and Labrador,NL,https://www.gov.nl.ca/education/faq/schooldatabase/,Download a Database of K-12 Schools,,,,,Fall 2020,12/31/2021
Other,Province of Nova Scotia,NS,http://ns-schools.ednet.ns.ca/index.shtml,Nova Scotia Directory of Public Schools,,,,,12/20/2021,2/14/2022
Open Data,Province of Ontario,ON,https://data.ontario.ca/dataset/school-information-and-student-demographics,School Information and Student Demographics,https://www.ontario.ca/page/open-government-licence-ontario,Open Government Licence – Ontario | ontario.ca,Contains information licensed under the Open Government Licence – Ontario.,Version 1.0,9/28/2020,12/31/2021
Open Data,Province of Prince Edward Island,PE,https://data.princeedwardisland.ca/Education-and-Community/OD0055-Public-School-Locations/aivx-75if,OD0055 Public School Locations,https://www.princeedwardisland.ca/en/information/finance/open-government-licence-prince-edward-island,Open Government Licence - Prince Edward Island | Government of Prince Edward Island,Contains information licensed under the Open Government Licence – Prince Edward Island,Version 1.0,9/20/2020,2/16/2022
Open Data,Province of Quebec,QC,https://www.donneesquebec.ca/recherche/fr/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec,Localisation des établissements d'enseignement du réseau scolaire au Québec,https://www.donneesquebec.ca/licence/ - cc-by,Licence Creative Commons 4.0 - Données Québec (donneesquebec.ca),Contient de l’information fournie par la province de Québec et visée par CC BY,Version 4.0,12/6/2021,12/31/2021
Other,Province of Saskatchewan,SK,https://publications.saskatchewan.ca/ - /products/83293,2020-21 Active List of School Division Schools,,,,,9/30/2020,11/30/2021
Other,Yukon,YT,https://yukon.ca/en/education-and-schools/kindergarten-grade-12/find-school,Find a school,,,,,,2/4/2022
Other,Northwest Territories,NT,https://www.ece.gov.nt.ca/en/services/jk-12-school-curriculum/directory-nwt-schools,Directory of NWT Schools,,,,,8/25/2021,2/4/2022
Other,Nunavut,NU,https://www.gov.nu.ca/school-information,School Calendars 2020-2021,,,,,,2/4/2022
