Data_Provider,Province_Territory,Link_to_Website,Website_Name
Province of Alberta,AB,https://www.asba.ab.ca/school-boards-and-zones/school-boards/,Alberta School Boards Association
Province of British Columbia,BC,https://www.frenchlanguageschoolsbritishcolumbia.ca/en/,Conseil scolaire francophone de la Colombie-Britannique
Province of Manitoba,MB,https://www.dsfm.mb.ca/ScriptorWeb/scripto.asp?resultat=103879,Division scolaire franco-manitobaine
Province of New Brunswick,NB,https://www.nbed.nb.ca/schooldirectory/default.aspx?strLang=F,Éducation et Développement de la petite enfance
Province of Newfoundland and Labrador,NL,https://csfp.nl.ca/,Conseil scolaire francophone provincial de Terre-Neuve-et-Labrador
Province of Nova Scotia,NS,https://csap.ca/nous-joindre/ecoles,Conseil scolaire acadien provincial
Province of Ontario,ON,https://www.acepo.org/en/ontario-french-language-schools/?school_board=37,Association des conseils scolaires des écoles publiques de l'Ontario
Province of Prince Edward Island,PE,https://cslf.edu.pe.ca/,La Commission scolaire de langue française
Province of Quebec,QC,https://qesba.qc.ca/en/go-public/ - schoolboards,Quebec English School Boards Association
Province of Saskatchewan,SK,https://ecolefrancophone.com/en/parents/find-a-school,Conseil des écoles fransaskoises
Yukon,YT,https://yukon.ca/en/education-and-schools/kindergarten-grade-12/find-school,Government of Yukon: Find a school
Northwest Territories,NT,https://www.csftno.com/csftno-schools,Commission scolaire francophone Territoires du Nord-Ouest
Nunavut,NU,http://csfn.ca/,Commission scolaire francophone du Nunavut
